Entity,Code,Year,Floating-Point Operations per Second
World,OWID_WRL,1993,1.24E+11
World,OWID_WRL,1994,1.7E+11
World,OWID_WRL,1995,1.7E+11
World,OWID_WRL,1996,3.68E+11
World,OWID_WRL,1997,1.3E+12
World,OWID_WRL,1998,1.3E+12
World,OWID_WRL,1999,2.4E+12
World,OWID_WRL,2000,4.9E+12
World,OWID_WRL,2001,7.2E+12
World,OWID_WRL,2002,3.59E+13
World,OWID_WRL,2003,3.59E+13
World,OWID_WRL,2004,7.07E+13
World,OWID_WRL,2005,2.806E+14
World,OWID_WRL,2006,2.806E+14
World,OWID_WRL,2007,4.782E+14
World,OWID_WRL,2008,1.1E+15
World,OWID_WRL,2009,1.8E+15
World,OWID_WRL,2010,2.6E+15
World,OWID_WRL,2011,1.05E+16
World,OWID_WRL,2012,1.76E+16
World,OWID_WRL,2013,3.39E+16
World,OWID_WRL,2014,3.39E+16
World,OWID_WRL,2015,3.39E+16
World,OWID_WRL,2016,9.3E+16
World,OWID_WRL,2017,9.3E+16
World,OWID_WRL,2018,1.435E+17
World,OWID_WRL,2019,1.486E+17
World,OWID_WRL,2020,4.42E+17
World,OWID_WRL,2021,4.42E+17
